name,live_time,Ni_signal,Ni_error,NiEi_signal,NiEi_error,gamma_dose,gamma_error,cosmic_dose,cosmic_error
BRIQUE,8473.45,67.4345059767256,0.154029786829445,64071.588774355,4.59247329053778,2010,35,152,6
C347,703.92,49.5660321247996,0.455852432138093,46580.211146402,14.2981703464835,1435.81590599369,25.2497557520835,170,18
C341,976.08,28.8002770470299,0.328352146122564,27974.8857137261,10.4464400380025,859.877998804582,21.3176152169653,170,18
PEP,507.07,84.3826282288451,0.651554397555027,80121.5154622799,20.3907728647695,2472.68370579445,157.60759464718,140,14
LMP,908.2,22.0885254040747,0.317680221468087,21227.3611551374,10.1211812684006,650.612992096962,17.5606486719195,120,20
MAZ,965.86,39.7593295400223,0.362944905560077,38008.8178915097,11.4528499155228,1173.55004746804,11.6650451785918,200,20
GOU,1008.58,55.0760219078157,0.395733872493068,52645.1159993029,12.4343312909975,1632.99211409597,17.4337888551623,110,11
