name,live_time,Ni_signal,Ni_error,NiEi_signal,NiEi_error,gamma_dose,gamma_error,cosmic_dose,cosmic_error
BRIQUE,9314.56,209.295259339251,0.213549735787546,110923.336016394,4.93382629891574,1986.462,35.6196793360075,152,6
C341,3549.58,87.7405001513626,0.224921351271712,46657.0161774806,5.2154207928544,849.9667515,21.3176152169653,170,18
C347,3558.69,150.691733828451,0.292984502826441,81717.3345657799,6.84366693728648,1423.8588757,25.2497557520835,170,18
GOU,3567.49,170.001273201591,0.310571010269145,89644.9209650246,7.15299274809347,1575.2248583,17.4337888551623,110,11
PEP,3385.54,264.77124990485,0.396993376425404,139711.027504396,9.13652456775245,2538.2217233,112.169130737782,140,14
